character,radical,decomposition,pinyin,definition,etymology,stroke_count,radical_code,frequency_rank,hsk_levl
的,白,⿰白勺,de,"possessive, adjectival suffix",,8,106.3,1,1.0
一,一,？,yī,"one; a, an; alone","{'type': 'ideographic', 'hint': 'Represents heaven (天), earth (旦), or the number 1'}",1,1.0,2,1.0
是,日,⿱日疋,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that","{'type': 'ideographic', 'hint': 'To speak\xa0日 directly\xa0疋'}",9,72.5,3,1.0
不,一,⿱一？,bù,"no, not; un-; negative prefix","{'type': 'ideographic', 'hint': 'A bird flying toward the sky\xa0一'}",4,1.3,4,1.0
了,亅,⿱乛亅,le,to finish; particle of completed action,"{'type': 'pictographic', 'hint': 'A child swaddled in blanklets; compare\xa0子'}",2,6.1,5,1.0
在,土,⿸才土,zài,"be at, in, on; consist in, rest","{'type': 'pictophonetic', 'phonetic': '才', 'semantic': '土', 'hint': 'earth'}",6,32.3,6,1.0
人,人,？,rén,man; people; mankind; someone else,"{'type': 'pictographic', 'hint': 'The legs of a human being'}",2,9.0,7,1.0
有,月,⿸？月,yǒu,"have, own, possess; exist","{'type': 'pictophonetic', 'phonetic': '月'}",6,74.2,8,1.0
我,戈,⿰扌戈,wǒ,"our, us, i, me, my, we","{'type': 'ideographic', 'hint': 'A hand\xa0扌 holding a weapon\xa0戈'}",7,62.3,9,1.0
他,人,⿰亻也,tā,"other, another; he, she, it","{'type': 'ideographic', 'hint': 'An additional, ""also"" 也\xa0\xa0person\xa0亻'}",5,9.3,10,1.0
这,辵,⿺辶文,zhè,"this, the, here",,7,162.4,11,1.0
个,丨,⿱人丨,gè,"numerary adjunct, piece; single","{'type': 'ideographic', 'hint': 'A tally\xa0丨 of people\xa0人'}",3,2.2,12,1.0
们,人,⿰亻门,men,adjunct pronoun indicate plural,"{'type': 'pictophonetic', 'phonetic': '门', 'semantic': '亻', 'hint': 'people'}",5,9.3,13,1.0
中,丨,⿻口丨,zhōng,"central; center, middle; in the midst of; hit (target); attain","{'type': 'ideographic', 'hint': 'A line\xa0丨 through the center of a box\xa0口'}",4,2.3,14,1.0
来,木,⿻未丷,lái,"come, coming; return, returning","{'type': 'ideographic', 'hint': 'A wheat plant that has not yet borne fruit; compare\xa0來'}",7,75.3,15,1.0
上,一,⿱⺊一,shàng,"top; superior, highest; go up, send up","{'type': 'ideographic', 'hint': 'One stroke on top of another; compare\xa0下\xa0(below)'}",3,1.2,16,1.0
大,大,⿻一人,dà,"big, great, vast, large, high","{'type': 'ideographic', 'hint': 'A man\xa0人 with outstretched arms'}",3,37.0,17,1.0
为,丶,⿻丶⿴力丶,wèi,"do, handle, govern, act; be",,4,3.3,18,2.0
和,口,⿰禾口,hé,"harmony, peace; peaceful, calm","{'type': 'pictophonetic', 'phonetic': '禾', 'semantic': '口', 'hint': 'mouth'}",8,30.5,19,1.0
国,囗,⿴囗玉,guó,"nation, country, nation-state","{'type': 'ideographic', 'hint': ""Treasure\xa0玉 within a country's borders\xa0囗""}",8,31.5,20,1.0
地,土,⿰土也,de,"earth; soil, ground; region","{'type': 'pictophonetic', 'phonetic': '也', 'semantic': '土', 'hint': 'earth'}",6,32.3,21,3.0
到,刀,⿰至刂,dào,"go to, arrive, been to","{'type': 'pictophonetic', 'phonetic': '刂', 'semantic': '至', 'hint': 'arrive'}",8,18.6,22,2.0
以,人,⿰？人,yǐ,"by means of; thereby, therefore; consider as; in order to",,4,9.3,23,2.0
说,言,⿰讠兑,shuō,"speak, say, talk; scold, upbraid","{'type': 'pictophonetic', 'phonetic': '兑', 'semantic': '讠', 'hint': 'speech'}",9,149.7,24,1.0
时,日,⿰日寸,shí,"time, season; era, age, period","{'type': 'pictophonetic', 'semantic': '日', 'hint': 'day'}",7,72.3,25,1.0
要,襾,⿱覀女,yào,"necessary, essential; necessity","{'type': 'ideographic', 'hint': 'A woman\xa0女 with hands on her waist\xa0覀'}",9,146.3,26,2.0
就,尢,⿰京尤,jiù,"just, simply; to come, go to; to approach, near","{'type': 'pictophonetic', 'phonetic': '京', 'semantic': '尤', 'hint': 'specialty'}",12,43.9,27,2.0
出,凵,⿱屮凵,chū,"go out, send out; stand; produce","{'type': 'ideographic', 'hint': 'A sprout\xa0屮\xa0growing out of a container\xa0凵'}",5,17.3,28,1.0
会,人,⿱人云,huì,"assemble, meet together; meeting","{'type': 'ideographic', 'hint': 'People\xa0人 speaking\xa0云'}",6,9.4,29,1.0
